Customer ID,Cust Since,City,State,Zip,Active?,Sales Rep,Sales Acct,LEAD SOURCE
103,7/21/08,Overland Park,KS,66210,Active,GCP3,30900,
10975,7/21/08,Overland Park,Ks,66210,Active,GCP3,30900,
1509WALN,12/12/18,KANSAS CITY,MO,64106,Active,SNOW,30800,
1617,7/15/08,,,,Inactive,,30200,
1906WYAN,1/28/19,Kansas City,MO,64108,Active,SNOW/GEORGE,30800,
1STB,10/27/11,OVERLAND PARK,KS,66212,Active,SNOW/TOM,30800,
220 W 18TH,1/14/22,KANSAS CITY,MO,64111,Active,SNOW,30800,
41 PENN,12/16/08,KANSAS CITY,MO,64111,Active,TOM,30900,
4STATE,2/10/04,LENEXA,KS,66215,Active,,30800,
6951,5/7/09,OVERLAND PARK,KS,66212,Active,TOM,30900,
8100,7/21/08,LEAWOOD,KS,66208,Active,TOM,30900,
8300,7/21/08,Overland Park,Ks,66210,Active,GCP3,30900,
8417,7/21/08,LEAWOOD,KS,66208,Active,SNOW/GEORGE,30800,
8585-HOME,9/27/10,CHESTERFIELD,MO,63017,Active,SNOW,30800,
9641,4/30/08,KANSAS CITY,MO,64112,Active,,30200,
A&FR,3/5/07,KANSAS CITY,MO,64108,Inactive,SNOW/GEORGE,30800,
ABDN,6/23/06,PRAIRIE VILLAGE,KS,66207,Inactive,,30200,
ABEL,3/10/06,PRAIRIE VILLAGE,KS,66208,Inactive,,30200,
ABER,10/5/09,LENEXA,KS,66220,Active,,30200,
ABRD,1/10/98,OVERLAND PARK,KS,66213,Inactive,TOM,30200,
ABRM,8/20/15,LEAWOOD,KS,66209,Active,GABE,30200,VALPAK
ABSO,7/23/14,ST ROBERT,MO,65584,Active,LARRY,30200,
ACAD,6/27/19,KANSAS CITY,MO,64113,Active,GABE,30200,
ACIE,2/16/07,RAYMORE,MO,64083,Inactive,,30200,
ACIN,9/22/17,OVERLAND PARK,KS,66206,Active,GABE,30200,
ACOS,10/2/14,OLATHE,KS,66062,Active,THAYNE,30200,YP
ACS,12/23/02,LENEXA,KS,66214,Active,TOM,30900,
ACTT,5/7/07,SHAWNEE,KS,66216,Active,,30200,
ACUFF,6/6/05,LEAWOOD,KS,66206,Active,,30200,
ADAM,5/26/05,SHAWNEE,KS,66218,Inactive,,30200,
ADAMB,7/30/09,OVERLAND PARK,KS,66223,Active,,30200,
ADAR,1/18/03,LEE'S SUMMIT,MO,64064,Active,,30200,
ADDIF,10/2/03,OVERLAND PARK,KS,66212,Inactive,,30200,
ADDN,8/31/00,BELTON,MO,64012,Inactive,,30200,
ADKI,12/22/09,OLATHE,KS,66062,Active,,30200,
ADMM,12/16/08,OVERLAND PARK,KS,66210,Active,SNOW,30800,
ADRI,11/9/16,LENEXA,KS,66219,Inactive,MIKEHU,30200,
AERN,9/8/06,SHAWNEE,KS,66218,Inactive,,30200,
AFFT,11/9/16,ST. LOUIS,MO,63147,Active,TOM,30900,
AGUI,3/30/12,SHAWNEE,KS,66216,Active,DAVIDA,30300,
AHC,9/23/04,KANSAS CITY,KS,66106,Active,,30200,
AHER,10/21/04,OVERLAND PARK,KS,66209,Inactive,,30200,
AHM,6/13/07,OLATHE,KS,66062,Inactive,,30200,
AIR,11/9/16,KANSAS CITY,KS,66105,Active,TOM,30900,
AKSN,10/6/09,OVERLAND PARK,KS,66209,Inactive,,30200,
ALBB,5/12/05,OVERLAND PARK,KS,66221,Inactive,,30200,
ALBEG,9/2/04,LEAWOOD,KS,66206,Active,,30400,
ALBER,4/10/07,LENEXA,KS,66210,Inactive,,30500,
ALBES,4/27/05,SHAWNEE,KS,66203,Inactive,,30200,
ALBRM,7/9/03,OVERLAND PARK,KS,66213,Active,,30200,
ALDE,3/28/11,SHAWNEE,KS,66218,Active,ERICD,30200,
ALDRF,8/12/04,OVERLAND PARK,KS,66215,Inactive,,30200,
ALEJ,5/10/05,LEAWOOD,KS,66224,Active,LARRY,30200,
ALEX,5/19/11,SHAWNEE,KS,66217,Active,THAYNE,30200,
ALLED,8/27/04,OLATHE,KS,66062,Inactive,,30200,
ALLEG,9/14/05,LEAWOOD,KS,66224,Inactive,,30200,
ALLER,10/8/08,OVERLAND PARK,KS,66212,Inactive,,30200,
ALLG,5/27/03,BONNER SPRINGS,KS,66012,Inactive,,30200,
ALLIE,9/16/11,LENEXA,KS,66215,Active,GABE,30200,
ALLIEDC,8/14/07,ROELAND PARK,KS,66205,Active,,30200,
ALPBAL,3/10/20,Kansas City,M0,64112,Active,LARRY,30200,
ALPE,11/16/16,KANSAS CITY,MO,64112,Inactive,SVC,30400,
ALPH,11/9/16,PRAIRIE VILLAGE,KS,66208,Active,TOM,30200,
ALTIB,1/6/04,POMONA,KS,66076,Inactive,,30200,
ALTL,3/27/18,PRAIRIE VILLAGE,KS,66208,Active,TOM,30200,
ALTM,8/16/18,OLATHE,KS,66061,Active,GABE,30200,
ALUM,3/4/08,BLUE SPRINGS,MO,64015,Active,GABE,30200,
AMARJ,5/8/02,OVERLAND PARK,KS,66212,Inactive,TOM,30200,
AMBH,1/10/98,PRAIRIE VILLAGE,KS,66204,Active,,30200,
AMBUS,7/15/20,OLATHE,KS,66061,Active,TOM,30200,
AMER,1/13/06,EDMOND,OK,73083,Active,,30200,
AMERF,4/25/11,,,,Active,,30200,
AMLE,12/22/16,OVERLAND PARK,KS,66204,Active,SNOW/GEORGE,30800,
AMOR,2/21/05,SHAWNEE,KS,66226,Inactive,TOM,30200,
ANAN,8/4/09,OLATHE,KS,66061,Inactive,,30200,
ANDA,1/5/98,BELTON,MO,64012,Inactive,,30200,
ANDAR,7/26/10,OVERLAND PARK,KS,66207,Active,GABE,30200,
ANDB,6/18/10,SHAWNEE,KS,66226,Active,SCOTT,30200,
ANDC,1/10/98,OLATHE,KS,66061,Active,TOM,30200,
